sampler,epochs,bs,mini_bs,hparam_mode,hparam_ref_epoch,lr,momentum,wd,C_dagger,sigma_th,sigma_used,mode,steps,test_acc,test_loss
reshuffle,1,1024,32,per_epoch,1,0.005,0.9,0.0001,13.35,0.35938681584563503,0.0,clean,48,0.031049679487179488,4.561744434711261
reshuffle,1,1024,32,per_epoch,1,0.005,0.9,0.0001,13.35,0.35938681584563503,0.35938681584563503,dp_sigma_1x,48,0.017027243589743588,4.591615215325967
reshuffle,10,1024,32,per_epoch,1,0.01,0.9,1e-05,13.35,0.35938681584563503,0.0,clean,480,0.28295272435897434,2.8748167844919057
reshuffle,10,1024,32,per_epoch,1,0.01,0.9,1e-05,13.35,0.35938681584563503,0.35938681584563503,dp_sigma_1x,480,0.1530448717948718,3.6140507268599973
reshuffle,25,1024,32,per_epoch,1,0.1,0.9,1e-05,13.35,0.35938681584563503,0.0,clean,1200,0.32892628205128205,2.6394592130031342
reshuffle,25,1024,32,per_epoch,1,0.1,0.9,1e-05,13.35,0.35938681584563503,0.35938681584563503,dp_sigma_1x,1200,0.24158653846153846,3.1682077990128445
