sampler,epochs,bs,mini_bs,hparam_mode,hparam_ref_epoch,lr,momentum,wd,C_dagger,sigma_th,sigma_used,mode,steps,test_acc,test_loss
poisson,1,256,32,per_epoch,1,0.02,0.9,0.0005,14.373076923076923,0.28516848815346213,0.0,clean,468,0.8727584388185654,0.3699815653987575
poisson,1,256,32,per_epoch,1,0.02,0.9,0.0005,14.373076923076923,0.28516848815346213,0.28516848815346213,dp_sigma_1x,468,0.7796677215189873,0.7333554058386806
poisson,10,256,32,per_epoch,1,0.05,0.9,0.0005,14.373076923076923,0.28516848815346213,0.0,clean,4680,0.9034810126582279,0.30341204695938007
poisson,10,256,32,per_epoch,1,0.05,0.9,0.0005,14.373076923076923,0.28516848815346213,0.28516848815346213,dp_sigma_1x,4680,0.8064345991561181,0.5686799438693856
poisson,25,256,32,per_epoch,1,0.02,0.9,0.0005,14.373076923076923,0.28516848815346213,0.0,clean,11700,0.914425105485232,0.35140984840219536
poisson,25,256,32,per_epoch,1,0.02,0.9,0.0005,14.373076923076923,0.28516848815346213,0.28516848815346213,dp_sigma_1x,11700,0.851925105485232,0.45336394320057416
