sampler,epochs,bs,mini_bs,hparam_mode,hparam_ref_epoch,lr,momentum,wd,C_dagger,sigma_th,sigma_used,mode,steps,test_acc,test_loss
poisson,1,128,32,per_epoch,1,0.005,0.9,0.0001,7.723076923076922,0.28949297995485573,0.0,clean,390,0.43920272435897434,1.533160286454054
poisson,1,128,32,per_epoch,1,0.005,0.9,0.0001,7.723076923076922,0.28949297995485573,0.28949297995485573,dp_sigma_1x,390,0.38621794871794873,1.7849061668683321
poisson,10,128,32,per_epoch,1,0.02,0.9,0.0005,7.723076923076922,0.28949297995485573,0.0,clean,3900,0.58984375,1.1973185365398724
poisson,10,128,32,per_epoch,1,0.02,0.9,0.0005,7.723076923076922,0.28949297995485573,0.28949297995485573,dp_sigma_1x,3900,0.3345352564102564,1.954604480893184
poisson,25,128,32,per_epoch,1,0.05,0.9,5e-05,7.723076923076922,0.28949297995485573,0.0,clean,9750,0.6110777243589743,1.2290139286181865
poisson,25,128,32,per_epoch,1,0.05,0.9,5e-05,7.723076923076922,0.28949297995485573,0.28949297995485573,dp_sigma_1x,9750,0.10326522435897435,19.609372426302006
