C,lr,momentum,wd,test_acc,test_loss,steps
0.05,0.01,0.9,5e-05,0.12800480769230768,2.3843846091857324,97
0.5615384615384615,0.01,0.9,5e-05,0.25570913461538464,2.028290166686743,97
1.073076923076923,0.01,0.9,5e-05,0.27974759615384615,1.9690748502810795,97
1.5846153846153845,0.01,0.9,5e-05,0.29116586538461536,1.9353678940962522,97
2.096153846153846,0.01,0.9,5e-05,0.3066907051282051,1.9129935873624606,97
2.6076923076923073,0.01,0.9,5e-05,0.31260016025641024,1.8964572843068686,97
3.119230769230769,0.01,0.9,5e-05,0.32111378205128205,1.884546357851762,97
3.6307692307692303,0.01,0.9,5e-05,0.32822516025641024,1.8753370558604217,97
4.142307692307692,0.01,0.9,5e-05,0.3329326923076923,1.8656178021278136,97
4.653846153846153,0.01,0.9,5e-05,0.33814102564102566,1.8536710613048994,97
5.165384615384615,0.01,0.9,5e-05,0.3444511217948718,1.8436477520526984,97
5.676923076923076,0.01,0.9,5e-05,0.3515625,1.8359497384383128,97
6.188461538461538,0.01,0.9,5e-05,0.35376602564102566,1.830126023063293,97
6.699999999999999,0.01,0.9,5e-05,0.35556891025641024,1.8251838405162861,97
7.211538461538461,0.01,0.9,5e-05,0.3577724358974359,1.8188345661530128,97
7.723076923076922,0.01,0.9,5e-05,0.36147836538461536,1.8109645289488328,97
8.234615384615385,0.01,0.9,5e-05,0.3652844551282051,1.8032303597682562,97
8.746153846153845,0.01,0.9,5e-05,0.3687900641025641,1.7970329889884362,97
9.257692307692308,0.01,0.9,5e-05,0.3697916666666667,1.7920882468804336,97
9.76923076923077,0.01,0.9,5e-05,0.37119391025641024,1.7872555538629875,97
10.28076923076923,0.01,0.9,5e-05,0.3739983974358974,1.7803174245816011,97
10.792307692307691,0.01,0.9,5e-05,0.3773036858974359,1.772307976316183,97
11.303846153846154,0.01,0.9,5e-05,0.3773036858974359,1.766590824111914,97
11.815384615384616,0.01,0.9,5e-05,0.37810496794871795,1.7644766916831334,97
12.326923076923077,0.01,0.9,5e-05,0.37910657051282054,1.7641436121402643,97
12.838461538461537,0.01,0.9,5e-05,0.37940705128205127,1.7636940616827745,97
13.35,0.01,0.9,5e-05,0.38040865384615385,1.762890948699071,97
13.861538461538462,0.01,0.9,5e-05,0.3805088141025641,1.7625774213900933,97
14.373076923076923,0.01,0.9,5e-05,0.37940705128205127,1.7635398694337943,97
14.884615384615383,0.01,0.9,5e-05,0.3798076923076923,1.7663411387266257,97
15.396153846153846,0.01,0.9,5e-05,0.38040865384615385,1.7713482150664697,97
15.907692307692308,0.01,0.9,5e-05,0.37830528846153844,1.7762013245851567,97
16.41923076923077,0.01,0.9,5e-05,0.37740384615384615,1.7792412008230503,97
16.93076923076923,0.01,0.9,5e-05,0.37910657051282054,1.7790991362088766,97
17.44230769230769,0.01,0.9,5e-05,0.3801081730769231,1.7762745263484807,97
17.953846153846154,0.01,0.9,5e-05,0.38110977564102566,1.7736443418722887,97
18.465384615384615,0.01,0.9,5e-05,0.3812099358974359,1.7751200378705294,97
18.976923076923075,0.01,0.9,5e-05,0.3815104166666667,1.7777792593607535,97
19.48846153846154,0.01,0.9,5e-05,0.3828125,1.7772762721929796,97
20.0,0.01,0.9,5e-05,0.3808092948717949,1.7748103455091133,97
