C,lr,momentum,wd,test_acc,test_loss,steps
0.05,0.005,0.9,0.0005,0.010416666666666666,4.84108766531333,390
0.5615384615384615,0.005,0.9,0.0005,0.012419871794871794,4.600126671485412,390
1.073076923076923,0.005,0.9,0.0005,0.017628205128205128,4.5897013789568195,390
1.5846153846153845,0.005,0.9,0.0005,0.021334134615384616,4.582092783389947,390
2.096153846153846,0.005,0.9,0.0005,0.023337339743589744,4.574199688740266,390
2.6076923076923073,0.005,0.9,0.0005,0.025040064102564104,4.569732245726463,390
3.119230769230769,0.005,0.9,0.0005,0.026842948717948716,4.562718402116727,390
3.6307692307692303,0.005,0.9,0.0005,0.02624198717948718,4.562297235696744,390
4.142307692307692,0.005,0.9,0.0005,0.02564102564102564,4.555481508756295,390
4.653846153846153,0.005,0.9,0.0005,0.022636217948717948,4.554103324046502,390
5.165384615384615,0.005,0.9,0.0005,0.027844551282051284,4.549310691845723,390
5.676923076923076,0.005,0.9,0.0005,0.02514022435897436,4.551441550254822,390
6.188461538461538,0.005,0.9,0.0005,0.026642628205128204,4.5545257574472675,390
6.699999999999999,0.005,0.9,0.0005,0.024939903846153848,4.5569958961926975,390
7.211538461538461,0.005,0.9,0.0005,0.02403846153846154,4.561713493787325,390
7.723076923076922,0.005,0.9,0.0005,0.021534455128205128,4.559777780985221,390
8.234615384615385,0.005,0.9,0.0005,0.025240384615384616,4.558022463933016,390
8.746153846153845,0.005,0.9,0.0005,0.024739583333333332,4.555515879239792,390
9.257692307692308,0.005,0.9,0.0005,0.024338942307692308,4.555220632981031,390
9.76923076923077,0.005,0.9,0.0005,0.024839743589743588,4.552065146275056,390
10.28076923076923,0.005,0.9,0.0005,0.024238782051282052,4.546495955723983,390
10.792307692307691,0.005,0.9,0.0005,0.024138621794871796,4.54477524298888,390
11.303846153846154,0.005,0.9,0.0005,0.020733173076923076,4.555336776452187,390
11.815384615384616,0.005,0.9,0.0005,0.024839743589743588,4.548538524370927,390
12.326923076923077,0.005,0.9,0.0005,0.0234375,4.5527812746854925,390
12.838461538461537,0.005,0.9,0.0005,0.017227564102564104,4.552759088002718,390
13.35,0.005,0.9,0.0005,0.024138621794871796,4.541114333348396,390
13.861538461538462,0.005,0.9,0.0005,0.02283653846153846,4.553122370671003,390
14.373076923076923,0.005,0.9,0.0005,0.022135416666666668,4.545173279750041,390
14.884615384615383,0.005,0.9,0.0005,0.021834935897435896,4.553715268770854,390
15.396153846153846,0.005,0.9,0.0005,0.021534455128205128,4.536378143689571,390
15.907692307692308,0.005,0.9,0.0005,0.020432692307692308,4.548133281561045,390
16.41923076923077,0.005,0.9,0.0005,0.020933493589743588,4.5481310196411915,390
16.93076923076923,0.005,0.9,0.0005,0.021434294871794872,4.542526373496423,390
17.44230769230769,0.005,0.9,0.0005,0.017528044871794872,4.557048676869808,390
17.953846153846154,0.005,0.9,0.0005,0.019431089743589744,4.551961927841871,390
18.465384615384615,0.005,0.9,0.0005,0.020933493589743588,4.538394492406112,390
18.976923076923075,0.005,0.9,0.0005,0.02013221153846154,4.545686009602669,390
19.48846153846154,0.005,0.9,0.0005,0.021334134615384616,4.550617778912569,390
20.0,0.005,0.9,0.0005,0.01893028846153846,4.556914882782178,390
