C,lr,momentum,wd,test_acc,test_loss,steps
0.05,0.01,0.9,0.0005,0.20741082410824108,2.192462607943264,1180
0.5615384615384615,0.01,0.9,0.0005,0.5098016605166051,1.538967406544445,1180
1.073076923076923,0.01,0.9,0.0005,0.6306888068880688,1.234247371022845,1180
1.5846153846153845,0.01,0.9,0.0005,0.696840405904059,1.0927414765803722,1180
2.096153846153846,0.01,0.9,0.0005,0.7408517835178352,0.9949962718900279,1180
2.6076923076923073,0.01,0.9,0.0005,0.7731780442804428,0.9039703443884702,1180
3.119230769230769,0.01,0.9,0.0005,0.7835178351783518,0.8805670156470085,1180
3.6307692307692303,0.01,0.9,0.0005,0.8201875768757687,0.732026393288176,1180
4.142307692307692,0.01,0.9,0.0005,0.8361392988929889,0.6644281231022702,1180
4.653846153846153,0.01,0.9,0.0005,0.8546663591635917,0.5969772333735176,1180
5.165384615384615,0.01,0.9,0.0005,0.853359471094711,0.5932306009923254,1180
5.676923076923076,0.01,0.9,0.0005,0.8612776752767528,0.5675311044573343,1180
6.188461538461538,0.01,0.9,0.0005,0.8676968019680197,0.532275810159587,1180
6.699999999999999,0.01,0.9,0.0005,0.8694649446494465,0.5133713677543849,1180
7.211538461538461,0.01,0.9,0.0005,0.872539975399754,0.5245724732713799,1180
7.723076923076922,0.01,0.9,0.0005,0.877229397293973,0.495736004507483,1180
8.234615384615385,0.01,0.9,0.0005,0.8808425584255842,0.46318001604351466,1180
8.746153846153845,0.01,0.9,0.0005,0.8825722632226323,0.45913457676200115,1180
9.257692307692308,0.01,0.9,0.0005,0.8820725707257072,0.45245802714082733,1180
9.76923076923077,0.01,0.9,0.0005,0.8698877613776138,0.5179565243542121,1180
10.28076923076923,0.01,0.9,0.0005,0.8853397908979089,0.4457335115707082,1180
10.792307692307691,0.01,0.9,0.0005,0.8654674046740467,0.5241644617266321,1180
11.303846153846154,0.01,0.9,0.0005,0.8722324723247232,0.49323212008964534,1180
11.815384615384616,0.01,0.9,0.0005,0.8691574415744158,0.49853714822183237,1180
12.326923076923077,0.01,0.9,0.0005,0.879189729397294,0.4559307520038381,1180
12.838461538461537,0.01,0.9,0.0005,0.8847632226322263,0.4286475276705084,1180
13.35,0.01,0.9,0.0005,0.8819188191881919,0.46133671644135743,1180
13.861538461538462,0.01,0.9,0.0005,0.8782287822878229,0.4692796426212362,1180
14.373076923076923,0.01,0.9,0.0005,0.886070110701107,0.42180045673951305,1180
14.884615384615383,0.01,0.9,0.0005,0.8863007380073801,0.41843491764269486,1180
15.396153846153846,0.01,0.9,0.0005,0.8853397908979089,0.4302884838274631,1180
15.907692307692308,0.01,0.9,0.0005,0.8897985854858549,0.4116029882434696,1180
16.41923076923077,0.01,0.9,0.0005,0.887799815498155,0.41429605266264885,1180
16.93076923076923,0.01,0.9,0.0005,0.8829182041820418,0.43443968947083306,1180
17.44230769230769,0.01,0.9,0.0005,0.88164975399754,0.43393445187242563,1180
17.953846153846154,0.01,0.9,0.0005,0.8842635301353013,0.4280445451537768,1180
18.465384615384615,0.01,0.9,0.0005,0.8833025830258303,0.43251426463894005,1180
18.976923076923075,0.01,0.9,0.0005,0.882879766297663,0.43204735720766135,1180
19.48846153846154,0.01,0.9,0.0005,0.8749615621156211,0.45777018644089773,1180
20.0,0.01,0.9,0.0005,0.8828028905289053,0.4216436680502557,1180
