sampler,epochs,bs,mini_bs,hparam_mode,hparam_ref_epoch,lr,momentum,wd,C_dagger,sigma_th,sigma_used,mode,steps,test_acc,test_loss
poisson,1,1024,32,per_epoch,1,0.005,0.9,5e-05,20.0,0.35938681584563503,0.0,clean,48,0.3683894230769231,1.7172359965550594
poisson,1,1024,32,per_epoch,1,0.005,0.9,5e-05,20.0,0.35938681584563503,0.35938681584563503,dp_sigma_1x,48,0.33513621794871795,1.8393160131497261
poisson,10,1024,32,per_epoch,1,0.01,0.9,1e-05,20.0,0.35938681584563503,0.0,clean,480,0.5509815705128205,1.3007439919389212
poisson,10,1024,32,per_epoch,1,0.01,0.9,1e-05,20.0,0.35938681584563503,0.35938681584563503,dp_sigma_1x,480,0.4931891025641026,1.6090165502749956
poisson,25,1024,32,per_epoch,1,0.05,0.9,0.0005,20.0,0.35938681584563503,0.0,clean,1200,0.6069711538461539,1.1212955214656317
poisson,25,1024,32,per_epoch,1,0.05,0.9,0.0005,20.0,0.35938681584563503,0.35938681584563503,dp_sigma_1x,1200,0.5436698717948718,1.4770508951101549
