sampler,epochs,bs,mini_bs,hparam_mode,hparam_ref_epoch,lr,momentum,wd,C_dagger,sigma_th,sigma_used,mode,steps,test_acc,test_loss
poisson,1,256,32,per_epoch,1,0.005,0.9,0.0001,17.44230769230769,0.30793293023586094,0.0,clean,195,0.4758613782051282,1.439661758641402
poisson,1,256,32,per_epoch,1,0.005,0.9,0.0001,17.44230769230769,0.30793293023586094,0.30793293023586094,dp_sigma_1x,195,0.3974358974358974,1.6645250706336436
poisson,10,256,32,per_epoch,1,0.05,0.9,1e-05,17.44230769230769,0.30793293023586094,0.0,clean,1950,0.7778445512820513,0.6530659883163679
poisson,10,256,32,per_epoch,1,0.05,0.9,1e-05,17.44230769230769,0.30793293023586094,0.30793293023586094,dp_sigma_1x,1950,0.46424278846153844,1.7481275443465283
poisson,25,256,32,per_epoch,1,0.1,0.9,0.0005,17.44230769230769,0.30793293023586094,0.0,clean,4875,0.7919671474358975,0.7209568443970803
poisson,25,256,32,per_epoch,1,0.1,0.9,0.0005,17.44230769230769,0.30793293023586094,0.30793293023586094,dp_sigma_1x,4875,0.4639423076923077,1.4578801424075396
