sampler,epochs,bs,mini_bs,hparam_mode,hparam_ref_epoch,lr,momentum,wd,C_dagger,sigma_th,sigma_used,mode,steps,test_acc,test_loss
poisson,1,256,32,per_epoch,1,0.005,0.9,5e-05,17.953846153846154,0.30793293023586094,0.0,clean,195,0.05959535256410257,4.134268216597728
poisson,1,256,32,per_epoch,1,0.005,0.9,5e-05,17.953846153846154,0.30793293023586094,0.30793293023586094,dp_sigma_1x,195,0.029847756410256412,4.5032498485002765
poisson,10,256,32,per_epoch,1,0.01,0.9,0.0005,17.953846153846154,0.30793293023586094,0.0,clean,1950,0.4053485576923077,2.2830168089041343
poisson,10,256,32,per_epoch,1,0.01,0.9,0.0005,17.953846153846154,0.30793293023586094,0.30793293023586094,dp_sigma_1x,1950,0.13030849358974358,3.698861825924653
poisson,25,256,32,per_epoch,1,0.05,0.9,0.0005,17.953846153846154,0.30793293023586094,0.0,clean,4875,0.4483173076923077,2.415773093318328
poisson,25,256,32,per_epoch,1,0.05,0.9,0.0005,17.953846153846154,0.30793293023586094,0.30793293023586094,dp_sigma_1x,4875,0.13141025641025642,3.675140220385331
