sampler,epochs,bs,mini_bs,hparam_mode,hparam_ref_epoch,lr,momentum,wd,C_dagger,sigma_th,sigma_used,mode,steps,test_acc,test_loss
reshuffle,1,128,32,per_epoch,1,0.01,0.9,0.0001,4.653846153846153,0.27031601891308155,0.0,clean,937,0.8792194092827004,0.34485450085205366
reshuffle,1,128,32,per_epoch,1,0.01,0.9,0.0001,4.653846153846153,0.27031601891308155,0.27031601891308155,dp_sigma_1x,937,0.7645042194092827,0.9495698590821857
reshuffle,10,128,32,per_epoch,1,0.02,0.9,1e-05,4.653846153846153,0.27031601891308155,0.0,clean,9370,0.9127109704641351,0.37308956616664235
reshuffle,10,128,32,per_epoch,1,0.02,0.9,1e-05,4.653846153846153,0.27031601891308155,0.27031601891308155,dp_sigma_1x,9370,0.714003164556962,1.2001643763690055
reshuffle,25,128,32,per_epoch,1,0.01,0.9,1e-05,4.653846153846153,0.27031601891308155,0.0,clean,23425,0.9084915611814346,0.6115143740950506
reshuffle,25,128,32,per_epoch,1,0.01,0.9,1e-05,4.653846153846153,0.27031601891308155,0.27031601891308155,dp_sigma_1x,23425,0.7898206751054853,1.0266781243719632
