sampler,epochs,bs,mini_bs,hparam_mode,hparam_ref_epoch,lr,momentum,wd,C_dagger,sigma_th,sigma_used,mode,steps,test_acc,test_loss
poisson,1,128,32,per_epoch,1,0.005,0.9,0.0005,13.35,0.28949297995485573,0.0,clean,390,0.47896634615384615,1.4362395722896626
poisson,1,128,32,per_epoch,1,0.005,0.9,0.0005,13.35,0.28949297995485573,0.28949297995485573,dp_sigma_1x,390,0.3890224358974359,1.6966782028858478
poisson,10,128,32,per_epoch,1,0.05,0.9,0.0005,13.35,0.28949297995485573,0.0,clean,3900,0.7939703525641025,0.6309912745864728
poisson,10,128,32,per_epoch,1,0.05,0.9,0.0005,13.35,0.28949297995485573,0.28949297995485573,dp_sigma_1x,3900,0.4050480769230769,1.6300308605035145
poisson,25,128,32,per_epoch,1,0.05,0.9,0.0005,13.35,0.28949297995485573,0.0,clean,9750,0.8176081730769231,0.6124565494127381
poisson,25,128,32,per_epoch,1,0.05,0.9,0.0005,13.35,0.28949297995485573,0.28949297995485573,dp_sigma_1x,9750,0.45683092948717946,1.5099686632553737
