sampler,epochs,bs,mini_bs,hparam_mode,hparam_ref_epoch,lr,momentum,wd,C_dagger,sigma_th,sigma_used,mode,steps,test_acc,test_loss
poisson,1,512,32,per_epoch,1,0.005,0.9,1e-05,12.838461538461537,0.33060024530466037,0.0,clean,97,0.045773237179487176,4.358831001397891
poisson,1,512,32,per_epoch,1,0.005,0.9,1e-05,12.838461538461537,0.33060024530466037,0.33060024530466037,dp_sigma_1x,97,0.031149839743589744,4.564238173839374
poisson,10,512,32,per_epoch,1,0.01,0.9,0.0005,12.838461538461537,0.33060024530466037,0.0,clean,970,0.37159455128205127,2.448194904969289
poisson,10,512,32,per_epoch,1,0.01,0.9,0.0005,12.838461538461537,0.33060024530466037,0.33060024530466037,dp_sigma_1x,970,0.16696714743589744,3.571590256232482
poisson,25,512,32,per_epoch,1,0.1,0.9,5e-05,12.838461538461537,0.33060024530466037,0.0,clean,2425,0.46724759615384615,2.550788406760265
poisson,25,512,32,per_epoch,1,0.1,0.9,5e-05,12.838461538461537,0.33060024530466037,0.33060024530466037,dp_sigma_1x,2425,0.20022035256410256,3.411137885772265
