sampler,epochs,bs,mini_bs,hparam_mode,hparam_ref_epoch,lr,momentum,wd,C_dagger,sigma_th,sigma_used,mode,steps,test_acc,test_loss
reshuffle,1,256,32,per_epoch,1,0.005,0.9,5e-05,20.0,0.30793293023586094,0.0,clean,195,0.41856971153846156,1.594372006180959
reshuffle,1,256,32,per_epoch,1,0.005,0.9,5e-05,20.0,0.30793293023586094,0.30793293023586094,dp_sigma_1x,195,0.4026442307692308,1.7122506476365602
reshuffle,10,256,32,per_epoch,1,0.02,0.9,5e-05,20.0,0.30793293023586094,0.0,clean,1950,0.5768229166666666,1.213694191704958
reshuffle,10,256,32,per_epoch,1,0.02,0.9,5e-05,20.0,0.30793293023586094,0.30793293023586094,dp_sigma_1x,1950,0.3683894230769231,1.783612412519944
reshuffle,25,256,32,per_epoch,1,0.05,0.9,0.0005,20.0,0.30793293023586094,0.0,clean,4875,0.6335136217948718,1.0301907005218358
reshuffle,25,256,32,per_epoch,1,0.05,0.9,0.0005,20.0,0.30793293023586094,0.30793293023586094,dp_sigma_1x,4875,0.27844551282051283,2.033030543189782
