sampler,epochs,bs,mini_bs,hparam_mode,hparam_ref_epoch,lr,momentum,wd,C_dagger,sigma_th,sigma_used,mode,steps,test_acc,test_loss
poisson,1,128,32,per_epoch,1,0.01,0.9,0.0001,5.165384615384615,0.27031601891308155,0.0,clean,937,0.8739451476793249,0.3710606188085009
poisson,1,128,32,per_epoch,1,0.01,0.9,0.0001,5.165384615384615,0.27031601891308155,0.27031601891308155,dp_sigma_1x,937,0.7529008438818565,1.039167956900999
poisson,10,128,32,per_epoch,1,0.02,0.9,1e-05,5.165384615384615,0.27031601891308155,0.0,clean,9370,0.9037447257383966,0.43622808439759264
poisson,10,128,32,per_epoch,1,0.02,0.9,1e-05,5.165384615384615,0.27031601891308155,0.27031601891308155,dp_sigma_1x,9370,0.7026635021097046,1.4447281473799596
poisson,25,128,32,per_epoch,1,0.01,0.9,1e-05,5.165384615384615,0.27031601891308155,0.0,clean,23425,0.9102056962025317,0.6497468262565035
poisson,25,128,32,per_epoch,1,0.01,0.9,1e-05,5.165384615384615,0.27031601891308155,0.27031601891308155,dp_sigma_1x,23425,0.7704377637130801,1.1198558123302862
