sampler,epochs,bs,mini_bs,hparam_mode,hparam_ref_epoch,lr,momentum,wd,C_dagger,sigma_th,sigma_used,mode,steps,test_acc,test_loss
reshuffle,1,256,32,per_epoch,1,0.01,0.9,5e-05,6.699999999999999,0.25373165509122564,0.0,clean,2360,0.9484547970479705,0.18993348239715982
reshuffle,1,256,32,per_epoch,1,0.01,0.9,5e-05,6.699999999999999,0.25373165509122564,0.25373165509122564,dp_sigma_1x,2360,0.8743081180811808,0.4919100304811203
reshuffle,10,256,32,per_epoch,1,0.005,0.9,0.0001,6.699999999999999,0.25373165509122564,0.0,clean,23600,0.9748616236162362,0.10414894064487419
reshuffle,10,256,32,per_epoch,1,0.005,0.9,0.0001,6.699999999999999,0.25373165509122564,0.25373165509122564,dp_sigma_1x,23600,0.9135531980319803,0.3698069937206429
reshuffle,25,256,32,per_epoch,1,0.005,0.9,0.0001,6.699999999999999,0.25373165509122564,0.0,clean,59000,0.974169741697417,0.12007153508004814
reshuffle,25,256,32,per_epoch,1,0.005,0.9,0.0001,6.699999999999999,0.25373165509122564,0.25373165509122564,dp_sigma_1x,59000,0.9171663591635917,0.36763380434900195
