sampler,epochs,bs,mini_bs,hparam_mode,hparam_ref_epoch,lr,momentum,wd,C_dagger,sigma_th,sigma_used,mode,steps,test_acc,test_loss
poisson,1,512,32,per_epoch,1,0.005,0.9,5e-05,20.0,0.3027435104328819,0.0,clean,234,0.8287183544303798,0.47554041879086556
poisson,1,512,32,per_epoch,1,0.005,0.9,5e-05,20.0,0.3027435104328819,0.3027435104328819,dp_sigma_1x,234,0.7518459915611815,0.8922262570274531
poisson,10,512,32,per_epoch,1,0.01,0.9,1e-05,20.0,0.3027435104328819,0.0,clean,2340,0.8959651898734177,0.3697395403771209
poisson,10,512,32,per_epoch,1,0.01,0.9,1e-05,20.0,0.3027435104328819,0.3027435104328819,dp_sigma_1x,2340,0.8357067510548524,0.7083356643276375
poisson,25,512,32,per_epoch,1,0.02,0.9,0.0005,20.0,0.3027435104328819,0.0,clean,5850,0.9033491561181435,0.4719466467069674
poisson,25,512,32,per_epoch,1,0.02,0.9,0.0005,20.0,0.3027435104328819,0.3027435104328819,dp_sigma_1x,5850,0.8233122362869199,0.6759345526433695
