sampler,epochs,bs,mini_bs,hparam_mode,hparam_ref_epoch,lr,momentum,wd,C_dagger,sigma_th,sigma_used,mode,steps,test_acc,test_loss
poisson,1,256,32,per_epoch,1,0.005,0.9,1e-05,13.861538461538462,0.30793293023586094,0.0,clean,195,0.4154647435897436,1.6088885783385007
poisson,1,256,32,per_epoch,1,0.005,0.9,1e-05,13.861538461538462,0.30793293023586094,0.30793293023586094,dp_sigma_1x,195,0.40244391025641024,1.7196565832083042
poisson,10,256,32,per_epoch,1,0.02,0.9,0.0001,13.861538461538462,0.30793293023586094,0.0,clean,1950,0.5588942307692307,1.3161672160793574
poisson,10,256,32,per_epoch,1,0.02,0.9,0.0001,13.861538461538462,0.30793293023586094,0.30793293023586094,dp_sigma_1x,1950,0.31560496794871795,2.0579575093892903
poisson,25,256,32,per_epoch,1,0.05,0.9,0.0005,13.861538461538462,0.30793293023586094,0.0,clean,4875,0.6323116987179487,1.0311469191159957
poisson,25,256,32,per_epoch,1,0.05,0.9,0.0005,13.861538461538462,0.30793293023586094,0.30793293023586094,dp_sigma_1x,4875,0.3176081730769231,1.9491116740764716
