sampler,epochs,bs,mini_bs,hparam_mode,hparam_ref_epoch,lr,momentum,wd,C_dagger,sigma_th,sigma_used,mode,steps,test_acc,test_loss
poisson,1,1024,32,per_epoch,1,0.005,0.9,0.0001,20.0,0.35938681584563503,0.0,clean,48,0.3605769230769231,1.7441891194918218
poisson,1,1024,32,per_epoch,1,0.005,0.9,0.0001,20.0,0.35938681584563503,0.35938681584563503,dp_sigma_1x,48,0.3462540064102564,1.8287338209457886
poisson,10,1024,32,per_epoch,1,0.01,0.9,5e-05,20.0,0.35938681584563503,0.0,clean,480,0.5338541666666666,1.342587907344867
poisson,10,1024,32,per_epoch,1,0.01,0.9,5e-05,20.0,0.35938681584563503,0.35938681584563503,dp_sigma_1x,480,0.49939903846153844,1.6490372371597168
poisson,25,1024,32,per_epoch,1,0.02,0.9,0.0005,20.0,0.35938681584563503,0.0,clean,1200,0.5631009615384616,1.6335292760378275
poisson,25,1024,32,per_epoch,1,0.02,0.9,0.0005,20.0,0.35938681584563503,0.35938681584563503,dp_sigma_1x,1200,0.5225360576923077,1.5855376347899437
