sampler,epochs,bs,mini_bs,hparam_mode,hparam_ref_epoch,lr,momentum,wd,C_dagger,sigma_th,sigma_used,mode,steps,test_acc,test_loss
poisson,1,512,32,per_epoch,1,0.01,0.9,5e-05,20.0,0.3027435104328819,0.0,clean,234,0.846123417721519,0.4354479332387699
poisson,1,512,32,per_epoch,1,0.01,0.9,5e-05,20.0,0.3027435104328819,0.3027435104328819,dp_sigma_1x,234,0.7602848101265823,0.8605748613046694
poisson,10,512,32,per_epoch,1,0.02,0.9,0.0005,20.0,0.3027435104328819,0.0,clean,2340,0.9040084388185654,0.313935620388024
poisson,10,512,32,per_epoch,1,0.02,0.9,0.0005,20.0,0.3027435104328819,0.3027435104328819,dp_sigma_1x,2340,0.8318829113924051,0.6214166488577042
poisson,25,512,32,per_epoch,1,0.05,0.9,0.0005,20.0,0.3027435104328819,0.0,clean,5850,0.9066455696202531,0.38780882145093465
poisson,25,512,32,per_epoch,1,0.05,0.9,0.0005,20.0,0.3027435104328819,0.3027435104328819,dp_sigma_1x,5850,0.8363660337552743,0.4783107800574242
