sampler,epochs,bs,mini_bs,hparam_mode,hparam_ref_epoch,lr,momentum,wd,C_dagger,sigma_th,sigma_used,mode,steps,test_acc,test_loss
poisson,1,128,32,per_epoch,1,0.005,0.9,1e-05,10.28076923076923,0.28949297995485573,0.0,clean,390,0.4584334935897436,1.4914944431720636
poisson,1,128,32,per_epoch,1,0.005,0.9,1e-05,10.28076923076923,0.28949297995485573,0.28949297995485573,dp_sigma_1x,390,0.3903245192307692,1.7787622534311736
poisson,10,128,32,per_epoch,1,0.02,0.9,0.0005,10.28076923076923,0.28949297995485573,0.0,clean,3900,0.5913461538461539,1.1809212960875952
poisson,10,128,32,per_epoch,1,0.02,0.9,0.0005,10.28076923076923,0.28949297995485573,0.28949297995485573,dp_sigma_1x,3900,0.359775641025641,1.858689464437656
poisson,25,128,32,per_epoch,1,0.02,0.9,0.0005,10.28076923076923,0.28949297995485573,0.0,clean,9750,0.6252003205128205,1.2672234273109682
poisson,25,128,32,per_epoch,1,0.02,0.9,0.0005,10.28076923076923,0.28949297995485573,0.28949297995485573,dp_sigma_1x,9750,0.43349358974358976,1.6420391755990493
