C,lr,momentum,wd,test_acc,test_loss,steps
0.05,0.005,0.9,1e-05,0.1828926282051282,2.2083019755589657,390
0.5615384615384615,0.005,0.9,1e-05,0.30228365384615385,1.9355638936544075,390
1.073076923076923,0.005,0.9,1e-05,0.3255208333333333,1.8842239926258724,390
1.5846153846153845,0.005,0.9,1e-05,0.3434495192307692,1.854950101711811,390
2.096153846153846,0.005,0.9,1e-05,0.3535657051282051,1.8355271846820147,390
2.6076923076923073,0.005,0.9,1e-05,0.3651842948717949,1.8218349504929323,390
3.119230769230769,0.005,0.9,1e-05,0.37059294871794873,1.8093378448333495,390
3.6307692307692303,0.005,0.9,1e-05,0.37740384615384615,1.80008208216765,390
4.142307692307692,0.005,0.9,1e-05,0.3779046474358974,1.796528663008641,390
4.653846153846153,0.005,0.9,1e-05,0.3777043269230769,1.7966912591304534,390
5.165384615384615,0.005,0.9,1e-05,0.3779046474358974,1.7973332149096024,390
5.676923076923076,0.005,0.9,1e-05,0.37910657051282054,1.796942630639443,390
6.188461538461538,0.005,0.9,1e-05,0.38171073717948717,1.7951879650354385,390
6.699999999999999,0.005,0.9,1e-05,0.38301282051282054,1.791390218413793,390
7.211538461538461,0.005,0.9,1e-05,0.38671875,1.785376529280956,390
7.723076923076922,0.005,0.9,1e-05,0.38661858974358976,1.7781108606320162,390
8.234615384615385,0.005,0.9,1e-05,0.3880208333333333,1.7703303946898534,390
8.746153846153845,0.005,0.9,1e-05,0.3887219551282051,1.7627810935179393,390
9.257692307692308,0.005,0.9,1e-05,0.391025641025641,1.755890422906631,390
9.76923076923077,0.005,0.9,1e-05,0.39122596153846156,1.7502418760305796,390
10.28076923076923,0.005,0.9,1e-05,0.3926282051282051,1.7460529055350866,390
10.792307692307691,0.005,0.9,1e-05,0.3909254807692308,1.7433970608772376,390
11.303846153846154,0.005,0.9,1e-05,0.39142628205128205,1.7423074700129337,390
11.815384615384616,0.005,0.9,1e-05,0.39112580128205127,1.7422892894500341,390
12.326923076923077,0.005,0.9,1e-05,0.3915264423076923,1.743336653480163,390
12.838461538461537,0.005,0.9,1e-05,0.39142628205128205,1.745153276202006,390
13.35,0.005,0.9,1e-05,0.38671875,1.7481450870251045,390
13.861538461538462,0.005,0.9,1e-05,0.383213141025641,1.7523891841753936,390
14.373076923076923,0.005,0.9,1e-05,0.3808092948717949,1.7589738827485304,390
14.884615384615383,0.005,0.9,1e-05,0.3815104166666667,1.7670064171155293,390
15.396153846153846,0.005,0.9,1e-05,0.3782051282051282,1.7745007414084215,390
15.907692307692308,0.005,0.9,1e-05,0.3769030448717949,1.7779748420684764,390
16.41923076923077,0.005,0.9,1e-05,0.3766025641025641,1.7780957153210273,390
16.93076923076923,0.005,0.9,1e-05,0.37580128205128205,1.7769362861529374,390
17.44230769230769,0.005,0.9,1e-05,0.37329727564102566,1.7761458032406294,390
17.953846153846154,0.005,0.9,1e-05,0.3697916666666667,1.7753975842243586,390
18.465384615384615,0.005,0.9,1e-05,0.36939102564102566,1.7737806267463243,390
18.976923076923075,0.005,0.9,1e-05,0.36939102564102566,1.7718875541900978,390
19.48846153846154,0.005,0.9,1e-05,0.3701923076923077,1.7716186038958721,390
20.0,0.005,0.9,1e-05,0.3690905448717949,1.771358772730216,390
