sampler,epochs,bs,mini_bs,hparam_mode,hparam_ref_epoch,lr,momentum,wd,C_dagger,sigma_th,sigma_used,mode,steps,test_acc,test_loss
poisson,1,512,32,per_epoch,1,0.005,0.9,0.0005,20.0,0.33060024530466037,0.0,clean,97,0.4227764423076923,1.6063376944034526
poisson,1,512,32,per_epoch,1,0.005,0.9,0.0005,20.0,0.33060024530466037,0.33060024530466037,dp_sigma_1x,97,0.38171073717948717,1.7687171667050092
poisson,10,512,32,per_epoch,1,0.01,0.9,0.0005,20.0,0.33060024530466037,0.0,clean,970,0.5694110576923077,1.3344477707376847
poisson,10,512,32,per_epoch,1,0.01,0.9,0.0005,20.0,0.33060024530466037,0.33060024530466037,dp_sigma_1x,970,0.5030048076923077,1.5386327266311035
poisson,25,512,32,per_epoch,1,0.05,0.9,0.0005,20.0,0.33060024530466037,0.0,clean,2425,0.6086738782051282,1.0860986195695705
poisson,25,512,32,per_epoch,1,0.05,0.9,0.0005,20.0,0.33060024530466037,0.33060024530466037,dp_sigma_1x,2425,0.4696514423076923,1.537709837540602
